sample,response,sample_type,population,count,total_count,percentage
sample00000,no,PBMC,b_cell,10908,93214,11.7
sample00000,no,PBMC,cd4_t_cell,20491,93214,21.98
sample00000,no,PBMC,cd8_t_cell,24440,93214,26.22
sample00000,no,PBMC,monocyte,23511,93214,25.22
sample00000,no,PBMC,nk_cell,13864,93214,14.87
sample00001,no,PBMC,b_cell,6777,100824,6.72
sample00001,no,PBMC,cd4_t_cell,33459,100824,33.19
sample00001,no,PBMC,cd8_t_cell,19407,100824,19.25
sample00001,no,PBMC,monocyte,23011,100824,22.82
sample00001,no,PBMC,nk_cell,18170,100824,18.02
sample00002,no,PBMC,b_cell,9794,92822,10.55
sample00002,no,PBMC,cd4_t_cell,24274,92822,26.15
sample00002,no,PBMC,cd8_t_cell,22940,92822,24.71
sample00002,no,PBMC,monocyte,18332,92822,19.75
sample00002,no,PBMC,nk_cell,17482,92822,18.83
sample00006,no,PBMC,b_cell,5897,99774,5.91
sample00006,no,PBMC,cd4_t_cell,28319,99774,28.38
sample00006,no,PBMC,cd8_t_cell,31296,99774,31.37
sample00006,no,PBMC,monocyte,21606,99774,21.65
sample00006,no,PBMC,nk_cell,12656,99774,12.68
sample00007,no,PBMC,b_cell,10403,98424,10.57
sample00007,no,PBMC,cd4_t_cell,33870,98424,34.41
sample00007,no,PBMC,cd8_t_cell,13504,98424,13.72
sample00007,no,PBMC,monocyte,18031,98424,18.32
sample00007,no,PBMC,nk_cell,22616,98424,22.98
sample00008,no,PBMC,b_cell,8829,90353,9.77
sample00008,no,PBMC,cd4_t_cell,21307,90353,23.58
sample00008,no,PBMC,cd8_t_cell,26215,90353,29.01
sample00008,no,PBMC,monocyte,16378,90353,18.13
sample00008,no,PBMC,nk_cell,17624,90353,19.51
sample00009,no,PBMC,b_cell,7650,95821,7.98
sample00009,no,PBMC,cd4_t_cell,21097,95821,22.02
sample00009,no,PBMC,cd8_t_cell,33334,95821,34.79
sample00009,no,PBMC,monocyte,15676,95821,16.36
sample00009,no,PBMC,nk_cell,18064,95821,18.85
sample00010,no,PBMC,b_cell,13203,107537,12.28
sample00010,no,PBMC,cd4_t_cell,27873,107537,25.92
sample00010,no,PBMC,cd8_t_cell,21339,107537,19.84
sample00010,no,PBMC,monocyte,31913,107537,29.68
sample00010,no,PBMC,nk_cell,13209,107537,12.28
sample00011,no,PBMC,b_cell,10621,89815,11.83
sample00011,no,PBMC,cd4_t_cell,29391,89815,32.72
sample00011,no,PBMC,cd8_t_cell,19786,89815,22.03
sample00011,no,PBMC,monocyte,16497,89815,18.37
sample00011,no,PBMC,nk_cell,13520,89815,15.05
sample00024,yes,PBMC,b_cell,7552,99969,7.55
sample00024,yes,PBMC,cd4_t_cell,35270,99969,35.28
sample00024,yes,PBMC,cd8_t_cell,27821,99969,27.83
sample00024,yes,PBMC,monocyte,9645,99969,9.65
sample00024,yes,PBMC,nk_cell,19681,99969,19.69
sample00025,yes,PBMC,b_cell,11714,95534,12.26
sample00025,yes,PBMC,cd4_t_cell,30323,95534,31.74
sample00025,yes,PBMC,cd8_t_cell,21407,95534,22.41
sample00025,yes,PBMC,monocyte,11789,95534,12.34
sample00025,yes,PBMC,nk_cell,20301,95534,21.25
sample00026,yes,PBMC,b_cell,7936,95777,8.29
sample00026,yes,PBMC,cd4_t_cell,34545,95777,36.07
sample00026,yes,PBMC,cd8_t_cell,23786,95777,24.83
sample00026,yes,PBMC,monocyte,15581,95777,16.27
sample00026,yes,PBMC,nk_cell,13929,95777,14.54
sample00060,yes,PBMC,b_cell,11035,103534,10.66
sample00060,yes,PBMC,cd4_t_cell,38817,103534,37.49
sample00060,yes,PBMC,cd8_t_cell,21406,103534,20.68
sample00060,yes,PBMC,monocyte,17717,103534,17.11
sample00060,yes,PBMC,nk_cell,14559,103534,14.06
sample00061,yes,PBMC,b_cell,4508,111970,4.03
sample00061,yes,PBMC,cd4_t_cell,38281,111970,34.19
sample00061,yes,PBMC,cd8_t_cell,34867,111970,31.14
sample00061,yes,PBMC,monocyte,18301,111970,16.34
sample00061,yes,PBMC,nk_cell,16013,111970,14.3
sample00062,yes,PBMC,b_cell,10066,95286,10.56
sample00062,yes,PBMC,cd4_t_cell,21554,95286,22.62
sample00062,yes,PBMC,cd8_t_cell,20104,95286,21.1
sample00062,yes,PBMC,monocyte,26057,95286,27.35
sample00062,yes,PBMC,nk_cell,17505,95286,18.37
sample00066,yes,PBMC,b_cell,8052,107284,7.51
sample00066,yes,PBMC,cd4_t_cell,37350,107284,34.81
sample00066,yes,PBMC,cd8_t_cell,35323,107284,32.92
